Question Title,Topic,Difficulty,Link
"Find Missing and Repeating element","Arrays","easy","https://www.geeksforgeeks.org/dsa/find-a-repeating-and-a-missing-number/"
"Stock Buy and Sell – Max one Transaction Allowed","Arrays","easy","https://www.geeksforgeeks.org/dsa/best-time-to-buy-and-sell-stock/"
"Remove Duplicates in a Sorted Array","Arrays","easy","https://www.geeksforgeeks.org/dsa/remove-duplicates-sorted-array/"
"Convert Array into Zig-Zag fashion","Arrays","easy","https://www.geeksforgeeks.org/dsa/convert-array-into-zig-zag-fashion/"
"Find third largest element","Arrays","easy","https://www.geeksforgeeks.org/dsa/third-largest-element-array-distinct-elements/"
"Check Pair Sum in a Sorted and Rotated Array","Arrays","medium","https://www.geeksforgeeks.org/dsa/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/"
"Sort an array of 0s 1s and 2s","Arrays","medium","https://www.geeksforgeeks.org/dsa/sort-an-array-of-0s-1s-and-2s/"
"Rotate Array K times","Arrays","medium","https://www.geeksforgeeks.org/dsa/array-rotation/"
"Find Majority Element","Arrays","medium","https://www.geeksforgeeks.org/dsa/majority-element/"
"Maximum Subarray Sum – Kadane’s Algorithm","Arrays","medium","https://www.geeksforgeeks.org/dsa/largest-sum-contiguous-subarray/"
"Stock Buy and Sell – Multiple Transaction Allowed","Arrays","medium","https://www.geeksforgeeks.org/dsa/stock-buy-sell/"
"Next Permutation","Arrays","medium","https://www.geeksforgeeks.org/dsa/next-permutation/"
"Maximum Product Subarray","Arrays","medium","https://www.geeksforgeeks.org/dsa/maximum-product-subarray/"
"Maximize i*arr[i] among all Rotations of Array","Arrays","medium","https://www.geeksforgeeks.org/dsa/maximum-sum-iarri-among-rotations-given-array/"
"Rearrange Array in Max Min Form","Arrays","medium","https://www.geeksforgeeks.org/dsa/rearrange-array-maximum-minimum-form-set-2-o1-extra-space/"
"Find Smallest Missing Positive Number","Arrays","medium","https://www.geeksforgeeks.org/dsa/find-the-smallest-positive-number-missing-from-an-unsorted-array/"
"Minimum Jumps to Reach End","Arrays","medium","https://www.geeksforgeeks.org/dsa/minimum-number-of-jumps-to-reach-end-of-a-given-array/"
"Trapping Rain Water","Arrays","hard","https://www.geeksforgeeks.org/dsa/trapping-rain-water/"
"Maximum Circular Subarray Sum","Arrays","hard","https://www.geeksforgeeks.org/dsa/maximum-contiguous-circular-sum/"
"Closest Palindrome Number","Arrays","hard","https://www.geeksforgeeks.org/dsa/closest-palindrome-number-whose-absolute-difference-min/"
"Stock Buy and Sell – Max 2 Transactions Allowed","Arrays","hard","https://www.geeksforgeeks.org/dsa/maximum-profit-by-buying-and-selling-a-share-at-most-twice/"
"Maximum Meetings in One Room","Sorting","easy","https://www.geeksforgeeks.org/dsa/find-maximum-meetings-in-one-room/"
"Chocolate Distribution Problem","Sorting","easy","https://www.geeksforgeeks.org/dsa/chocolate-distribution-problem/"
"Find a Pair with the given difference","Sorting","easy","https://www.geeksforgeeks.org/dsa/find-a-pair-with-the-given-difference/"
"Form the Largest Number","Sorting","medium","https://www.geeksforgeeks.org/dsa/given-an-array-of-numbers-arrange-the-numbers-to-form-the-biggest-number/"
"Merge Two Sorted Arrays Without Extra Space","Sorting","medium","https://www.geeksforgeeks.org/dsa/merge-two-sorted-arrays-o1-extra-space/"
"Count Inversions of an Array","Sorting","medium","https://www.geeksforgeeks.org/dsa/inversion-count-in-array-using-merge-sort/"
"Meeting Rooms - II","Sorting","medium","https://www.geeksforgeeks.org/dsa/meeting-rooms-find-minimum-meeting-rooms/"
"Merge Overlapping Intervals","Sorting","medium","https://www.geeksforgeeks.org/dsa/merging-intervals/"
"Minimum Swaps to Sort","Sorting","medium","https://www.geeksforgeeks.org/dsa/minimum-number-swaps-required-sort-array/"
"Minimize the Maximum Difference between the Heights","Sorting","medium","https://www.geeksforgeeks.org/dsa/minimize-the-maximum-difference-between-the-heights/"
"Find k largest elements in an array (Quick Sort Method)","Sorting","medium","https://www.geeksforgeeks.org/dsa/k-largestor-smallest-elements-in-an-array/"
"3 Sum – Triplet Sum in Array","Sorting","medium","https://www.geeksforgeeks.org/dsa/find-a-triplet-that-sum-to-a-given-value/"
"4 Sum - All Quadruples","Sorting","medium","https://www.geeksforgeeks.org/dsa/find-four-elements-that-sum-to-a-given-value-set-2/"
"First Repeated Character","Strings","easy","https://www.geeksforgeeks.org/dsa/find-the-first-repeated-character-in-a-string/"
"Reverse Words","Strings","easy","https://www.geeksforgeeks.org/dsa/reverse-words-in-a-given-string/"
"Roman Number to Integer","Strings","easy","https://www.geeksforgeeks.org/dsa/roman-number-to-integer/"
"Check Anagram","Strings","easy","https://www.geeksforgeeks.org/dsa/check-whether-two-strings-are-anagram-of-each-other/"
"Remove Duplicates","Strings","easy","https://www.geeksforgeeks.org/dsa/remove-duplicates-from-a-given-string/"
"Longest Substring Without Repeating Characters","Strings","medium","https://www.geeksforgeeks.org/dsa/length-of-the-longest-substring-without-repeating-characters/"
"Rabin-Karp Algorithm","Strings","medium","https://www.geeksforgeeks.org/dsa/rabin-karp-algorithm-for-pattern-searching/"
"Z algorithm","Strings","medium","https://www.geeksforgeeks.org/dsa/z-algorithm-linear-time-pattern-searching-algorithm/"
"Longest Palindromic Substring","Strings","medium","https://www.geeksforgeeks.org/dsa/longest-palindromic-substring/"
"Look-and-Say Sequence","Strings","medium","https://www.geeksforgeeks.org/dsa/look-and-say-sequence/"
"Number to English Words","Strings","medium","https://www.geeksforgeeks.org/dsa/program-to-convert-a-given-number-to-words-set-2/"
"KMP Algorithm","Strings","hard","https://www.geeksforgeeks.org/dsa/kmp-algorithm-for-pattern-searching/"
"Minimum Characters to Add at Front for Palindrome","Strings","hard","https://www.geeksforgeeks.org/dsa/minimum-characters-added-front-make-string-palindrome/"
"Smallest Window Containing All Characters of Another String","Strings","hard","https://www.geeksforgeeks.org/dsa/find-the-smallest-window-in-a-string-containing-all-characters-of-another-string/"
"At least K Occurences","Hashing","easy","https://www.geeksforgeeks.org/dsa/count-all-elements-in-the-array-which-appears-at-least-k-times-after-their-first-occurrence/"
"Common Elements in Two Arrays","Hashing","easy","https://www.geeksforgeeks.org/dsa/common-elements-in-two-arrays/"
"Longest Subarray with 0 Sum","Hashing","medium","https://www.geeksforgeeks.org/dsa/find-the-largest-subarray-with-0-sum/"
"Count Distinct Elements In Every Window of Size K","Hashing","medium","https://www.geeksforgeeks.org/dsa/count-distinct-elements-in-every-window-of-size-k/"
"4 Sum – Count Quadruplets with Given Sum","Hashing","medium","https://www.geeksforgeeks.org/dsa/count-quadruplets-with-sum-k-from-given-array/"
"Check If Array Pair Sums Divisible by k","Hashing","medium","https://www.geeksforgeeks.org/dsa/check-if-an-array-can-be-divided-into-pairs-whose-sum-is-divisible-by-k/"
"Longest Consecutive Subsequence","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-consecutive-subsequence/"
"Count Subarrays having Sum K","Hashing","medium","https://www.geeksforgeeks.org/dsa/number-subarrays-sum-exactly-equal-k/"
"Longest Subarray With Sum K","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-sub-array-sum-k/"
"Longest Subarray With Sum Divisible By K","Hashing","medium","https://www.geeksforgeeks.org/dsa/longest-subarray-sum-divisible-k/"
"Sort according to an Array","Hashing","medium","https://www.geeksforgeeks.org/dsa/sort-array-according-order-defined-another-array/"
"Group Anagrams Together","Hashing","medium","https://www.geeksforgeeks.org/dsa/given-a-sequence-of-words-print-all-anagrams-together/"
"Count Maximum Points on Same Line","Hashing","hard","https://www.geeksforgeeks.org/dsa/count-maximum-points-on-same-line/"
"LFU cache","Hashing","hard","https://www.geeksforgeeks.org/dsa/least-frequently-used-lfu-cache-implementation/"
"Minimum Window Substring","Hashing","hard","https://www.geeksforgeeks.org/dsa/find-the-smallest-window-in-a-string-containing-all-characters-of-another-string/"
"Binary Search Algorithm","Binary Search","easy","https://www.geeksforgeeks.org/dsa/binary-search/"
"N-th root of a number","Binary Search","easy","https://www.geeksforgeeks.org/dsa/n-th-root-number/"
"Single Element in a Sorted Array","Binary Search","medium","https://www.geeksforgeeks.org/dsa/find-the-element-that-appears-once-in-a-sorted-array/"
"Search in a Sorted and Rotated Array","Binary Search","medium","https://www.geeksforgeeks.org/dsa/search-an-element-in-a-sorted-and-pivoted-array/"
"Sum of Middle Elements of two Sorted Arrays","Binary Search","medium","https://www.geeksforgeeks.org/dsa/sum-of-middle-elements-of-two-sorted-arrays/"
"First and Last Occurrence","Binary Search","medium","https://www.geeksforgeeks.org/dsa/find-first-and-last-positions-of-an-element-in-a-sorted-array/"
"Median of two Sorted Arrays","Binary Search","hard","https://www.geeksforgeeks.org/dsa/median-of-two-sorted-arrays-of-different-sizes/"
"Median in a Row-wise sorted Matrix","Binary Search","hard","https://www.geeksforgeeks.org/dsa/find-median-row-wise-sorted-matrix/"
"Allocate Minimum Pages","Binary Search","hard","https://www.geeksforgeeks.org/dsa/allocate-minimum-number-pages/"
"Aggressive Cows","Binary Search","hard","https://www.geeksforgeeks.org/dsa/assign-stalls-to-k-cows-to-maximize-the-minimum-distance-between-them/"
